Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Series490-traced	99383843895406576	(OCoLC)1346351823	Series statement (traced): The life of ideas	
	CHECK-Series490-traced	99383843896306576	(OCoLC)1355641934	Series statement (traced): A nation divided: studies in the Civil War era	
	CHECK-ENCODING	99383843898006576	(OCoLC)1340646034	Encoding level: i	You have to be prepared to die before you can begin to live : ten weeks in Birmingham that changed America / Paul Kix.
	EDIT-264-missing-©	99383843898006576	(OCoLC)1340646034	�2023	
	CHECK-ENCODING	99383843900506576	(OCoLC)721085649	Encoding level: 0	The Cherokee syllabary : writing the people's perseverance / Ellen Cushman.
	CHECK-Series490-traced	99383843900506576	(OCoLC)721085649	Series statement (traced): American Indian Literature and Critical Studies series ;v. 56	
	CHECK-ENCODING	99383843902006576	(OCoLC)1088600410	Encoding level: 0	Trafficking culture : new directions in researching the global market in illicit antiquities / Simon Mackenzie, Neil Brodie, and Donna Yates with Christos Tsirogiannis.
	CHECK-100-INDICATOR	99383843904306576	(OCoLC)1281238058	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843904306576	(OCoLC)1281238058	245 Ind1: 0	Theater in a post-truth world : text, politics, and performance / edited by William C. Boles.
	EDIT-Series490-untraced	99383843904306576	(OCoLC)1281238058	Series statement (untraced): Methuen Drama agitations: text, politics and performances	
	EDIT-Geo	99383846605106576	(OCoLC)1191456150	No Geo Code; Check Bib Record for Geo Headings	Boyle Heights : how a Los Angeles neighborhood became the future of American democracy / George J. Sánchez.
	CHECK-Series490-traced	99383846605106576	(OCoLC)1191456150	Series statement (traced): American crossroads	
	CHECK-Series490-traced	99383847205106576	(OCoLC)1382252288	Series statement (traced): Connected Histories in the Early Modern World	
	CHECK-Series490-traced	99383848703106576	(OCoLC)1266220556	Series statement (traced): Harvard-Yenching Institute monograph series ;131	
	CHECK-ENCODING	99383849999006576	(OCoLC)1293060186	Encoding level: i	Getting along : how to work with anyone (even difficult people) / Amy Gallo.
	CHECK-ENCODING	99383850001106576	(OCoLC)1136491225	Encoding level: 0	Somehow, crystal / Tanaka Yasuo ; translated by Christopher Smith.
	EDIT-245Ind1	99383850003906576	(OCoLC)1379056296	245 Ind1: 0	An Indigenous present / edited by Jeffrey Gibson [and Jenelle Porter]
